id,url,statut,categorie,nb_signalements,date,email,pseudonyme,url_arnaque,contenu,commentaire,themes
872760,https://www.signal-arnaques.com/scam/view/872760,ARNAQUE SUSPECTÉE !!!,Arnaques financières,2,07/09/2025,,Bnp paribas,,Il y a une transaction d'environ 700€ en cours sur mon compte. Appeler le numero 0978468255 pour bloquer la transaction,Essai d'arnaque par texto,BNP Paribas
668854,https://www.signal-arnaques.com/scam/view/668854,ARNAQUE SUSPECTÉE !!!,Arnaques financières,4,24/07/2023,,VENNIN-VIBERT,,Lettre : Nous sommes informés par la Sté BNP PARIBAS PERSONAL FINANCE que ma dette d'un montant de XXXXXEuros n'a pas été réglé. Ce dossier est suivi par : NADIA.,Je n'ai aucune dette et aucun dossier de crédit.,BNP Paribas
448474,https://www.signal-arnaques.com/scam/view/448474,ARNAQUE SUSPECTÉE !!!,Phishing,5,25/01/2022,,,https://cledigitale-mabanque-bnpparibas.fr/,Réception d'un SMS indiquant : BNP PARIBAS : Attention il ne vous reste que 24h. Activez la cle digitale sur le lien suivant : https://cledigitale-mabanque-bnpparibas.fr/,"Pourquoi ai-je douté ? Par ordre d'importance : 1. Je n'ai pas de compte bancaire à la BNP. 2. S'il ne me reste que 24h, alors j'aurais du recevoir un SMS avant. Or, ça n'a pas été le cas 3. Le lien n'est pas unique, il est générique. 4. Votre moteur de recherche vous indiquera que les sites officielles de la BNP sont en *.bnpparibas.com ou *.bnpparibas"". 5. Sur la page vers laquelle le SMS envoie, il n'y a aucun lien actif, en particulier le ""Code secret oublié ?"". 6. L'accent de ""clé"" a été oublié dans le SMS. En général, les grandes banques soignent leur orthographe.","Phishing, SMS, BNP Paribas"
